datetime_utc, _tempm
6/23/2021 7:10,23.6
6/23/2021 8:10,23.38
6/23/2021 9:10,23.4
6/23/2021 10:10,23.19
6/23/2021 11:10,23.07
6/23/2021 12:10,23.75
6/23/2021 13:10,23.18
6/23/2021 14:10,22.8
6/23/2021 15:10,23.07
6/23/2021 16:10,23.09
6/23/2021 17:10,23.03
6/23/2021 18:10,23.39
6/23/2021 19:10,22.86
6/23/2021 20:10,22.98
6/23/2021 21:10,23.07
6/23/2021 22:10,23.12
6/23/2021 23:10,23.38
6/24/2021 0:10,23.5
6/24/2021 1:10,23.29
6/24/2021 2:10,23.43
6/24/2021 3:10,23.38
6/24/2021 4:10,23.5
6/24/2021 5:10,23.5
6/24/2021 6:10,23.81
6/24/2021 7:10,23.63
6/24/2021 8:10,23.89
6/24/2021 9:10,23.75
6/24/2021 10:10,23.59
6/24/2021 11:10,23.58
6/24/2021 12:10,23.46
6/24/2021 13:10,23.7
6/24/2021 14:10,23.58
6/24/2021 15:10,23.39
6/24/2021 16:10,22.88
6/24/2021 17:10,23.09
6/24/2021 18:10,23.58
6/24/2021 19:10,23.65
6/24/2021 20:10,23.65
6/24/2021 21:10,23.14
6/24/2021 22:10,22.91
6/24/2021 23:10,23.06
6/25/2021 0:10,23.18
6/25/2021 1:10,23.08
6/25/2021 2:10,23.59
6/25/2021 3:10,23.51
6/25/2021 4:10,23.83
6/25/2021 5:10,24.12
6/25/2021 6:10,24.14
6/25/2021 7:10,24.3
6/25/2021 8:10,23.81
6/25/2021 9:10,24.19
6/25/2021 10:10,23.88
6/25/2021 11:10,23.92
6/25/2021 12:10,23.77
6/25/2021 13:10,24.11
6/25/2021 14:10,23.74
6/25/2021 15:10,23.31
6/25/2021 16:10,23.31
6/25/2021 17:10,23.38
6/25/2021 18:10,23.02
6/25/2021 19:10,23.14
6/25/2021 20:12,22.96
6/25/2021 21:11,23.05
6/25/2021 22:10,23.01
6/25/2021 23:10,22.99
6/26/2021 0:11,23.1
6/26/2021 1:10,23.26
6/26/2021 2:10,23.46
6/26/2021 3:10,23.69
6/26/2021 4:10,24.07
6/26/2021 5:10,24.04
6/26/2021 6:10,24.25
6/26/2021 7:10,24.21
6/26/2021 8:10,24.6
6/26/2021 9:10,24.79
6/26/2021 10:10,24.35
6/26/2021 11:10,24.12
6/26/2021 12:10,23.89
6/26/2021 13:10,24.07
6/26/2021 14:10,23.89
6/26/2021 15:10,23.79
6/26/2021 16:10,23.8
6/26/2021 17:10,23.63
6/26/2021 18:10,23.23
6/26/2021 19:11,23.85
6/26/2021 20:10,23.39
6/26/2021 21:10,23.18
6/26/2021 22:10,23.16
6/26/2021 23:10,23.58
6/27/2021 0:10,23.19
6/27/2021 1:10,23.55
6/27/2021 2:11,23.91
6/27/2021 3:11,24.05
6/27/2021 4:10,23.96
6/27/2021 5:10,24.48
6/27/2021 6:10,24.19
6/27/2021 7:10,24.58
6/27/2021 8:10,24.87
6/27/2021 9:10,25.03
6/27/2021 10:10,25
6/27/2021 11:10,24.5
6/27/2021 12:10,24.69
6/27/2021 13:10,24.29
6/27/2021 14:10,24.35
6/27/2021 15:10,24.07
6/27/2021 16:10,24.21
6/27/2021 17:10,23.89
6/27/2021 18:10,24.01
6/27/2021 19:10,23.95
6/27/2021 20:10,23.97
6/27/2021 21:10,23.45
6/27/2021 22:10,23.66
6/27/2021 23:10,23.11
6/28/2021 0:11,23.68
6/28/2021 1:10,23.65
6/28/2021 2:10,23.69
6/28/2021 3:10,24.37
6/28/2021 4:10,24.02
6/28/2021 5:10,24.18
6/28/2021 6:10,24.16
6/28/2021 7:10,24.15
6/28/2021 8:10,24.51
6/28/2021 9:10,24.69
6/28/2021 10:13,24.58
6/28/2021 11:10,24.36
6/28/2021 12:11,24.3
6/28/2021 13:10,23.82
6/28/2021 14:10,23.7
6/28/2021 15:10,23.88
6/28/2021 16:10,23.72
6/28/2021 17:10,23.57
6/28/2021 18:10,23.48
6/28/2021 19:10,23.26
6/28/2021 20:10,22.67
6/28/2021 21:10,23.08
6/28/2021 22:10,23.13
6/28/2021 23:10,22.78
6/29/2021 0:10,23.26
6/29/2021 1:10,23.11
6/29/2021 2:10,24.01
6/29/2021 3:10,24.37
6/29/2021 4:10,23.92
6/29/2021 5:10,24.16
6/29/2021 6:10,23.99
6/29/2021 7:10,24.79
6/29/2021 8:10,25.03
6/29/2021 9:10,24.38
6/29/2021 10:10,24.06
6/29/2021 11:10,23.69
6/29/2021 12:10,24.05
6/29/2021 13:10,23.64
6/29/2021 14:10,23.68
6/29/2021 15:10,23.89
6/29/2021 16:10,23.86
6/29/2021 17:10,23.5
6/29/2021 18:10,23.54
6/29/2021 19:10,23.38
6/29/2021 20:10,23.27
6/29/2021 21:11,22.78
6/30/2021 1:33,23.1
6/30/2021 1:33,23.1
6/30/2021 1:33,23.1
6/30/2021 1:33,23.1
6/30/2021 2:10,23.32
6/30/2021 3:10,23.33
6/30/2021 4:10,23.49
6/30/2021 5:10,23.9
6/30/2021 6:10,24.1
6/30/2021 7:10,24.27
6/30/2021 8:10,24.44
6/30/2021 9:10,24.6
6/30/2021 10:11,24.48
6/30/2021 11:10,24.24
6/30/2021 12:10,23.54
6/30/2021 13:10,23.27
6/30/2021 14:10,23.21
6/30/2021 15:10,23.47
6/30/2021 16:10,22.84
6/30/2021 17:10,22.98
6/30/2021 18:10,23.07
6/30/2021 19:10,22.82
6/30/2021 20:10,23.14
6/30/2021 21:10,23.11
6/30/2021 22:11,22.77
6/30/2021 23:10,22.89
7/1/2021 0:10,23.09
7/1/2021 1:10,23.08
7/1/2021 2:10,23.31
7/1/2021 3:10,23.63
7/1/2021 4:10,24.16
7/1/2021 5:10,24.01
7/1/2021 6:10,24
7/1/2021 7:10,24.1
7/1/2021 8:10,25.42
7/1/2021 9:10,25.25
7/1/2021 10:11,24.88
7/1/2021 11:10,24.55
7/1/2021 12:10,24.28
7/1/2021 13:10,24.47
7/1/2021 14:10,24.14
7/1/2021 15:10,24.17
